data-season	data-episode	prime-season	prime-episode	prime-link	netflix-season	netflix-episode	netflix-link
3	33	4	20	https://www.primevideo.com/detail/0Q3B8EP2F6BM0WXQHHFUNSPL6A?autoplay=1	4	20	https://www.netflix.com/watch/81439391
4	1	4	21	https://www.primevideo.com/detail/0RMQ4UB3JPSKII3GBWZ5ME9II8?autoplay=1	4	21	https://www.netflix.com/watch/81439392
4	2	5	1	https://www.primevideo.com/detail/0LTUXTPOUH2SNMX806AYUZVGT6?autoplay=1	5	1	https://www.netflix.com/watch/81439393
4	3	5	2	https://www.primevideo.com/detail/0RIGO1LXX0KQNB7EYS8D69P5E7?autoplay=1	5	2	https://www.netflix.com/watch/81439394
4	4	5	3	https://www.primevideo.com/detail/0OSF98BRSZZ5F04JH336KRA9KF?autoplay=1	5	3	https://www.netflix.com/watch/81439395
4	5	5	4	https://www.primevideo.com/detail/0HBVQKGP1DE2LDD1O3WQUL6CXN?autoplay=1	5	4	https://www.netflix.com/watch/81439396
4	6	5	5	https://www.primevideo.com/detail/0R9XRGA5YPNA2HSXE1GU35P5PM?autoplay=1	5	5	https://www.netflix.com/watch/81439397
4	7	5	6	https://www.primevideo.com/detail/0KIYYKEMA17YWRJ3T8JVJTVV5K?autoplay=1	5	6	https://www.netflix.com/watch/81439398
4	8	5	7	https://www.primevideo.com/detail/0TAEGHKV0M4KRL62YF8HLQZZ0W?autoplay=1	5	7	https://www.netflix.com/watch/81439399
4	9	5	8	https://www.primevideo.com/detail/0RQZKMXVM0MXWU8J7TEMIIJEIK?autoplay=1	5	8	https://www.netflix.com/watch/81439400
4	10	5	9	https://www.primevideo.com/detail/0K66LOEWQY0DCZYBT8X7DXWV1S?autoplay=1	5	9	https://www.netflix.com/watch/81439401
4	11	5	10	https://www.primevideo.com/detail/0H7MA9SV2RK0K15NGUU3ZUODFT?autoplay=1	5	10	https://www.netflix.com/watch/81439402
4	12	5	11	https://www.primevideo.com/detail/0TENWS8U6ZN8CVATR4OMH22WTP?autoplay=1	5	11	https://www.netflix.com/watch/81439403
		5	12	https://www.primevideo.com/detail/0RV90XLVFMV6V1PQOS1QIWB2HY?autoplay=1	5	12	https://www.netflix.com/watch/81439404
